year_funded,province,district,municipality,barangay,project_name,status,projects,length_km,influence_area_ha,farmer_beneficiaries,latitude,longitude
2017,CAGAYAN,III,PEÑABLANCA,NABBABALAYAN,CONCRETING OF NABBABALAYAN FMR,COMPLETED,1,0.224,60,300,17.704122000000002,121.84439399999999
2017,CAGAYAN,III,SOLANA,ANDARAYAN NORTH-SOUTH,CONCRETING OF ANDARAYAN NORTH-SOUTH FMR,COMPLETED,1,0.255,100,75,17.684781000000001,121.722402
2017,CAGAYAN,III,SOLANA,BAUAN EAST,"CONCRETING OF SITIO IPIL, BAUAN EAST FMR",COMPLETED,1,0.593,350,200,17.721024,121.69164000000001
2017,CAGAYAN,III,SOLANA,MAGUIRIG,CONCRETING OF CAGAYAN BREEDING STATION ROAD NETWORK FMR,COMPLETED,1,0.515,25,50,17.656092000000001,121.647622
2017,CAGAYAN,III,SOLANA,PADUL,CONCRETING OF PADUL FMR,COMPLETED,1,0.252,170,120,17.636657,121.589777
2017,CAGAYAN,III,SOLANA,SAMPAGUITA,"CONCRETING OF DAMORTIS, SAMPAGUITA FMR",COMPLETED,1,0.523,230,140,17.682608999999999,121.603998
2017,CAGAYAN,III,TUGUEGARAO CITY,LARION BAJO,CONCRETING OF LARION BAJO FMR,COMPLETED,1,0.185,120,300,17.621335999999999,121.754076
2017,ISABELA,I,CABAGAN,BALASIG,"CONCRETING OF SITIO PAPAYA-SITIO DALENA, BALASIG FMR",COMPLETED,1,0.892,100,80,17.379270000000002,121.832549
2017,ISABELA,I,CABAGAN,SAN JUAN,CONCRETING OF SAN JUAN FMR,COMPLETED,1,0.882,200,100,17.408345000000001,121.744424
2017,ISABELA,I,CABAGAN,STO. TOMAS,CONCRETING OF SAN ANTONIO PROPER-BUBUG STO. TOMAS FMR,COMPLETED,1,1.955,300,150,17.399563000000001,121.705654
2017,ISABELA,I,CABAGAN,TALLAG,"CONCRETING OF SITIO DACQUE-SITIO AGGASIMUAN, TALLAG FMR",COMPLETED,1,0.7567,100,70,17.439886999999999,121.668316
2017,ISABELA,I,ILAGAN CITY,SAN FELIPE,CONCRETING OF CAGAYAN VALLEY RESEARCH CENTER ROAD NETWORK FMR,COMPLETED,1,0.854,60,35,17.132135999999999,121.887621
2017,ISABELA,I,STA. MARIA,POBLACION 2,CONCRETING OF POBLACION 2 FMR,COMPLETED,1,0.576,45,30,17.467414000000002,121.747635
2017,ISABELA,I,TUMAUINI,MOLDERO,CONCRETING OF MOLDERO FMR,COMPLETED,1,0.865,70,50,17.361559,121.79927000000001
2017,ISABELA,II,BENITO SOLIVEN,DAGUPAN,"CONCRETING OF PLACER, DAGUPAN FMR",COMPLETED,1,0.616,200,85,16.907211,121.93260100000001
2017,ISABELA,II,BENITO SOLIVEN,MALUNO SUR- NORTE,CONCRETING OF MALUNO SUR- NORTE FMR,COMPLETED,1,0.634,175,85,17.015055,121.961574
2017,ISABELA,II,BENITO SOLIVEN,SAN FRANCISCO,CONCRETING OF SAN FRANCISCO FMR,COMPLETED,1,0.536,150,80,16.938452000000002,121.98561100000001
2017,ISABELA,II,BURGOS,SAN MIGUEL -SANROQUE,CONCRETING OF SAN MIGUEL-CATABBAN (PHASE II) FMR,COMPLETED,1,0.405,190,105,17.046724999999999,121.75013800000001
2017,ISABELA,II,GAMU,BARCOLAN,CONCRETING OF BARCOLAN FMR,COMPLETED,1,0.266,130,60,17.064387,121.774852
2017,ISABELA,II,GAMU,MABINI- UNION,CONCRETING OF MABINI-UNION FMR,COMPLETED,1,1.155,150,85,17.091999999999999,121.73038
2017,ISABELA,II,GAMU,UPI,CONCRETING OF ISABELA EXPERIMENT STATIONROAD NETWORK FMR,COMPLETED,1,0.654,50,20,17.063224000000002,121.86603599999999
2017,ISABELA,II,NAGUILIAN,MINALLO & FLORES,CONCRETING OF MINALLO-FLORES FMR,COMPLETED,1,0.25,150,100,16.973627,121.85677800000001
2017,ISABELA,II,QUEZON,LEPANTO - CALLANGIGAN,CONCRETING OFLEPANTO - CALLANGIGAN FMR,COMPLETED,1,0.35,130,60,17.322005000000001,121.545604
2017,ISABELA,II,QUEZON,MANGGA,CONCRETING OF MANGGA FMR,COMPLETED,1,0.323,250,230,17.296468000000001,121.615357
