source_file,sheet,province,district,municipality,year,program,activity,unit,physical_target,budget,length_km,allocation_method,source_note
cagayan_1.xlsx,FMR,Cagayan,I,Santa Ana,2026,Farm-to-Market Roads,Concreting of Dungeg FMR,Dungeg,,15000.00,1.00,direct municipality row,Concreting of Dungeg FMR
cagayan_1.xlsx,FMR,Cagayan,I,Alcala,2026,Farm-to-Market Roads,"Concreting Of Tamban-Malalatan Fmr, Brgy. Tamban,Alcala, Cagayan",Brgy. Tamban,,15000.00,1.00,direct municipality row,"Concreting Of Tamban-Malalatan Fmr, Brgy. Tamban,Alcala, Cagayan"
cagayan_1.xlsx,FMR,Cagayan,I,Buguey,2026,Farm-to-Market Roads,"Rehabilitation/Concreting Of Purok Bunga Fmr, Brgy. Pattao, Buguey, Cagayan",Brgy. Pattao,,15000.00,1.00,direct municipality row,"Rehabilitation/Concreting Of Purok Bunga Fmr, Brgy. Pattao, Buguey, Cagayan"
cagayan_1.xlsx,FMR,Cagayan,I,Santa Ana,2026,Farm-to-Market Roads,"Concreting Of Kapanikian Fmr, Brgy. Kapanikian, Sta. Ana, Cagayan",Brgy. Kapanikian,,15000.00,1.00,direct municipality row,"Concreting Of Kapanikian Fmr, Brgy. Kapanikian, Sta. Ana, Cagayan"
cagayan_1.xlsx,FMR,Cagayan,I,Gattaran,2026,Farm-to-Market Roads,"Concreting Of Piña Este Fmr, Brgy. Piña Este, Gattaran, Cagayan",Brgy. Piña Este,,15000.00,1.00,direct municipality row,"Concreting Of Piña Este Fmr, Brgy. Piña Este, Gattaran, Cagayan"
cagayan_1.xlsx,FMR,Cagayan,I,Lal-lo,2026,Farm-to-Market Roads,"Concreting Of Rosario Fmr, Brgy. Rosario, Lallo, Cagayan",Brgy. Rosario,,15000.00,1.00,direct municipality row,"Concreting Of Rosario Fmr, Brgy. Rosario, Lallo, Cagayan"
cagayan_1.xlsx,FMR,Cagayan,I,Camalaniugan,2026,Farm-to-Market Roads,"Concreting Of Brgy. Abagao Fmr, Brgy. Abagao, Camalaniugan, Cagayan",Brgy. Abagao,,15000.00,1.00,direct municipality row,"Concreting Of Brgy. Abagao Fmr, Brgy. Abagao, Camalaniugan, Cagayan"
cagayan_1.xlsx,FMR,Cagayan,I,Camalaniugan,2026,Farm-to-Market Roads,"Concreting Of Brgy. Paragat Fmr, Brgy. Paragat, Camalaniugan, Cagayan",Brgy. Paragat,,15000.00,1.00,direct municipality row,"Concreting Of Brgy. Paragat Fmr, Brgy. Paragat, Camalaniugan, Cagayan"
cagayan_1.xlsx,FMR,Cagayan,I,Baggao,2026,Farm-to-Market Roads,"Concreting Of Awallan Fmr, Brgy. Awallan, Baggao, Cagayan",Brgy. Awallan,,15000.00,1.00,direct municipality row,"Concreting Of Awallan Fmr, Brgy. Awallan, Baggao, Cagayan"
cagayan_1.xlsx,FMR,Cagayan,I,Gonzaga,2026,Farm-to-Market Roads,"Concreting Of Saliwanwan Fmr, Brgy. San Jose, Gonzaga, Cagayan",Brgy. San Jose,,15000.00,1.00,direct municipality row,"Concreting Of Saliwanwan Fmr, Brgy. San Jose, Gonzaga, Cagayan"
cagayan_1.xlsx,FMR,Cagayan,I,Baggao,2026,Farm-to-Market Roads,"Concreting of Brgy. Lasilat FMR, Baggao, Cagayan",Brgy. Lasilat,,15000.00,1.00,direct municipality row,"Concreting of Brgy. Lasilat FMR, Baggao, Cagayan"
cagayan_1.xlsx,FMR,Cagayan,I,Alcala,2026,Farm-to-Market Roads,"Concreting of Brgy. Alejon Street to Limon Street FMR, Brgy. Centro Sur, Alcala, Cagayan",Centro Sur,,15000.00,1.00,direct municipality row,"Concreting of Brgy. Alejon Street to Limon Street FMR, Brgy. Centro Sur, Alcala, Cagayan"
cagayan_1.xlsx,FMR,Cagayan,I,Alcala,2026,Farm-to-Market Roads,"Concreting of Brgy. Cabuluan FMR, Brgy. Cabuluan, Alcala, Cagayan",Cabuluan,,30000.00,2.00,direct municipality row,"Concreting of Brgy. Cabuluan FMR, Brgy. Cabuluan, Alcala, Cagayan"
